"lgu","province","year","unliquidated"
"Alfonso Castaneda","Nueva Vizcaya",2019,14549706.58
"Aborlan","Palawan",2018,684751.62
"Abra de Ilog","Occidental Mindoro",2019,142239.45
"Abra de Ilog","Occidental Mindoro",2020,2318012
"Abra de Ilog","Occidental Mindoro",2015,1326222.13
"Abra de Ilog","Occidental Mindoro",2016,245771.34
"Abra de Ilog","Occidental Mindoro",2017,834890.38
"Abra de Ilog","Occidental Mindoro",2018,748684.1
"Abulug","Cagayan",2014,148069
"Abuyog","Leyte",2012,31999658.91
"Abuyog","Leyte",2013,0
"Abuyog","Leyte",2014,183623255.53
"Abuyog","Leyte",2015,1437392.05
"Adams","Ilocos Norte",2015,0
"Adams","Ilocos Norte",2016,280128
"Adams","Ilocos Norte",2017,348652
"Adams","Ilocos Norte",2019,996861.27
"Adams","Ilocos Norte",2018,335182
"Aglipay","Quirino",2010,40184680.9
"Aglipay","Quirino",2011,10753469.25
"Aglipay","Quirino",2012,10891677.85
"Aglipay","Quirino",2013,9224345.43
"Aglipay","Quirino",2015,0
"Aglipay","Quirino",2017,0
"Aglipay","Quirino",2018,22491240.18
"Aglipay","Quirino",2019,27495594.08
"Agoo","La Union",2017,413575
"Aguilar","Pangasinan",2016,0
"Aguinaldo","Ifugao",2012,82752.76
"Agutaya","Palawan",2012,6123200.69
"Agutaya","Palawan",2013,1377959.39
"Agutaya","Palawan",2014,1790279.61
"Agutaya","Palawan",2015,1906906.11
"Agutaya","Palawan",2016,5362854.55
"Agutaya","Palawan",2017,4357326.69
"Agutaya","Palawan",2018,0
"Agutaya","Palawan",2019,0
"Agutaya","Palawan",2020,10663248.31
"Ajuy","Iloilo",2011,160599.68
"Ajuy","Iloilo",2012,46266066.43
"Ajuy","Iloilo",2013,484173.5
"Ajuy","Iloilo",2014,816601.88
"Ajuy","Iloilo",2015,511088
"Ajuy","Iloilo",2016,3758698.75
"Ajuy","Iloilo",2017,280685.39
"Ajuy","Iloilo",2018,5748573.3
"Ajuy","Iloilo",2019,6
"Alabat","Quezon",2016,470035
"Alabat","Quezon",2018,331743
"Alabat","Quezon",2019,331743
"Alabat","Quezon",2020,282745
"Alabel","Sarangani",2013,4.53
"Alabel","Sarangani",2014,12200024.4
"Alamada","Cotabato",2017,847480.94
"Alamada","Cotabato",2018,525248.42
"Alamada","Cotabato",2019,0
"Alaminos  City","Pangasinan",2010,19616502.48
"Alaminos  City","Pangasinan",2011,445061283.85
"Alaminos  City","Pangasinan",2012,18840337.89
"Alaminos  City","Pangasinan",2013,21097176.57
"Alaminos  City","Pangasinan",2014,26656804.6
"Alaminos  City","Pangasinan",2015,28042066.58
"Alaminos  City","Pangasinan",2017,0
"Alaminos  City","Pangasinan",2018,0
"Alang Alang","Leyte",2015,7443360.09
"Alang Alang","Leyte",2011,0
"Alang Alang","Leyte",2013,111679614
"Alang Alang","Leyte",2017,603960
"Alang Alang",NA,2020,600000
"Alang Alang","Leyte",2012,531138
"Alang Alang","Bohol",2017,28733964.84
"Alang Alang","Cagayan",2013,4466698.25
"Alang Alang","Cagayan",2014,2820710.69
"Alang Alang","Cagayan",2015,4161337.13
"Alang Alang","Cagayan",2016,4389047.74
"Alang Alang","Cagayan",2017,0
"Alang Alang","Cagayan",2019,9265248.5
"Alang Alang","Pangasinan",2017,117406
"Alang Alang","Romblon",2010,1732341.06
"Alcantara","Romblon",2013,1220397
"Alcantara","Romblon",2014,1020231
"Alcoy","Cebu",2010,45086926.73
"Alcoy","Cebu",2011,79025000.55
"Alcoy","Cebu",2012,77096825.53
"Alcoy","Cebu",2013,84337912.2
"Alcoy","Cebu",2014,1292923
"Alcoy","Cebu",2017,160000
"Alegria","Cebu",2010,4413488.43
"Alegria","Cebu",2011,6497984.14
"Alegria","Cebu",2013,9.19
"Alegria","Cebu",2014,5792986.72
"Alegria","Cebu",2016,0
"Alegria","Surigao del Norte",2011,14193894.96
"Alegria","Surigao del Norte",2013,6217557.35
